mondo_id,organ_immune_system,organ_skin_connective,organ_musculoskeletal,organ_nervous_system,organ_renal_urinary,organ_gastrointestinal,organ_cardiovascular,organ_respiratory,organ_hematologic,organ_endocrine,organ_ocular
12186,1,0,1,1,1,0,0,0,1,1,0
6558,0,0,0,0,0,0,0,0,0,0,1
20516,1,1,0,0,1,1,0,1,0,1,0
18874,1,0,0,1,1,1,0,1,0,1,0
605,0,0,0,0,0,0,0,1,0,0,0
13934,1,1,1,1,1,1,1,1,1,1,1
10295,1,1,1,1,1,0,1,0,0,1,1
30498,1,1,1,1,1,1,1,1,1,1,0
17597,1,0,1,0,0,0,0,0,0,1,0
44201,1,1,1,1,1,1,1,1,1,1,1
850449,1,1,0,1,1,1,0,1,1,1,0
4643,1,0,0,0,0,0,0,0,0,0,0
15537,0,0,0,0,0,0,0,0,0,0,0
957981,1,1,1,1,1,1,1,1,1,1,0
10017,0,0,0,0,0,0,0,0,0,0,0
31012,1,0,1,0,1,0,0,1,1,1,1
10315,1,1,1,1,1,1,1,1,1,1,1
12371,0,0,0,0,0,0,0,0,0,0,0
12727,1,1,1,0,1,1,1,1,1,1,0
15539,1,0,1,1,1,1,1,1,0,1,1
225,0,0,0,0,0,0,0,0,0,0,0
33669,0,0,0,0,0,0,0,0,0,0,0
12316,0,0,0,0,0,0,0,0,0,0,0
19316,1,0,0,1,0,0,1,1,1,1,0
15517,1,1,1,1,1,1,1,1,1,1,1
35500,1,1,1,1,1,1,1,1,1,1,1
13343,1,1,1,1,1,1,1,1,1,1,1
14222,1,1,1,1,1,1,1,1,1,1,0
971016,1,1,1,1,1,1,1,1,1,1,1
4463,1,1,1,1,0,1,0,1,1,1,1
8633,0,0,0,0,0,0,0,0,0,0,0
21500,1,1,1,1,0,1,0,0,1,1,0
10293,1,1,1,1,1,1,1,1,1,1,1
35290,1,1,0,1,1,0,1,0,1,0,0
100397,1,0,0,1,1,1,0,1,0,1,0
33968,1,1,1,1,1,1,0,1,1,1,0
15542,1,0,0,0,0,1,1,0,0,1,0
8232,1,1,1,1,1,1,1,1,1,1,1
5642,1,1,0,0,0,0,0,0,0,0,0
12831,1,1,0,1,0,1,1,0,1,0,0
100211,1,1,1,1,1,1,1,1,1,1,1
16309,1,1,1,1,1,1,0,1,1,1,1
30266,1,1,1,1,1,1,1,1,1,1,1
