mondo_id,total_phenotypes,total_annotations,frequency_available,literature_support,mondo_disease_name,phenotype_richness_score
15,3924,24104,0.7874626617988716,12265,classic complement early component deficiency,77.90684827138122
159,613,1817,0.7771051183269125,1463,bone marrow failure syndrome,46.79487883045771
213,1434,4410,0.6331065759637188,2279,"autoimmune disease, multisystem, infantile-onset",56.20278685457077
225,77,84,0.7619047619047619,33,human monocytic ehrlichiosis,15.363326023684971
320,43,43,1.0,0,glandular tularemia,0.0
432,121,187,0.8609625668449198,25,lymphoplasmacytic lymphoma,15.651964334427769
450,2564,8898,0.74409979770735,3647,secondary progressive multiple sclerosis,64.38283691554126
451,3040,11764,0.745579734784087,5170,primary progressive multiple sclerosis,68.57708878836303
452,2521,8792,0.7413557779799818,3627,progressive relapsing multiple sclerosis,64.20111186376282
568,1322,2939,0.8533514800952705,1082,autoimmune disorder of central nervous system,50.223684333040055
569,1398,3230,0.8736842105263158,1042,autoimmune disorder of endocrine system,50.341375403860745
572,3482,19462,0.7842462234097215,9474,recombinase activating gene 1 deficiency,74.67648509123731
573,3482,19462,0.7842462234097215,9474,recombinase activating gene 2 deficiency,74.67648509123731
583,3491,19541,0.7850161199529195,9474,immunoglobulin beta deficiency,74.70011455475101
586,1115,2465,0.8758620689655172,908,autoimmune disorder of exocrine system,47.80567354622619
587,537,1086,0.8333333333333334,400,"autoimmune disease of ear, nose and throat",37.68918166996916
588,1156,2465,0.7837728194726167,1035,autoimmune disorder of gastrointestinal tract,48.9739092237575
589,1201,2625,0.8750476190476191,952,autoimmune disorder of musculoskeletal system,48.64661990557888
590,1456,3373,0.8565075600355766,1341,autoimmune disorder of peripheral nervous system,52.45972931983732
602,541,1094,0.8281535648994516,403,autoimmune disorder of blood,37.7805030417629
603,1159,2539,0.8822371012209531,927,autoimmune disorder of cardiovascular system,48.21506962835979
605,32,34,0.8235294117647058,0,hypersensitivity reaction disease,0.0
612,1058,2090,0.8339712918660287,892,lymphatic system cancer,47.32484145094996
621,1369,3252,0.8238007380073801,1199,immune system cancer,51.20854802491462
630,1389,3331,0.8408886220354248,1153,immune system organ benign neoplasm,51.02842682101407
659,277,423,0.8486997635933806,122,delta-heavy chain disease,27.081150281265582
701,99,121,0.8429752066115702,72,ischemic colitis,19.7582959025677
702,138,171,0.9181286549707602,69,microscopic colitis,20.96408902692233
703,103,126,0.8888888888888888,69,collagenous colitis,19.731672637219468
704,107,131,0.8320610687022901,69,lymphocytic colitis,19.892012241087976
705,95,116,0.8793103448275862,69,Clostridium difficile colitis,19.3916115745077
706,95,116,0.8793103448275862,69,chemical colitis,19.3916115745077
707,95,116,0.8793103448275862,69,diversion colitis,19.3916115745077
708,24,25,0.24,13,Crohn jejunoileitis,8.494797838739785
709,24,25,0.24,13,Crohn ileitis,8.494797838739785
710,24,25,0.24,13,gastroduodenal Crohn disease,8.494797838739785
715,1349,3363,0.7395182872435325,1035,lymph node adenoid cystic carcinoma,50.04505349388318
771,364,578,0.8339100346020761,362,allergic respiratory disease,34.77637168282833
774,1473,4130,0.7532687651331719,1729,autoimmune neuropathy,54.39610104702784
777,205,239,0.8326359832635983,142,gastrointestinal allergy,26.4414216349671
814,1126,2205,0.8217687074829932,393,B-cell adult acute lymphocytic leukemia,41.99769748590419
871,1234,2558,0.8272087568412823,861,T-cell childhood acute lymphocytic leukemia,48.1179638449119
872,1149,2393,0.8161303802758044,813,B-cell childhood acute lymphoblastic leukemia,47.232181096256944
875,1076,2097,0.8245112064854554,343,adult acute monocytic leukemia,40.77897852445949
901,496,748,0.8061497326203209,151,relapsed/refractory diffuse large B-cell lymphoma,31.191214494027328
951,135,204,0.8137254901960784,31,thymus lymphoma,17.025964415559926
1082,1063,2643,0.6889897843359818,959,lymph node cancer,47.861087536879104
1093,54,54,1.0,0,colonic lymphangioma,0.0
1112,55,55,1.0,0,bubonic plague,0.0
1115,1836,5116,0.7112978889757623,2330,familial polycythemia,58.27859959591239
1116,27,27,0.7037037037037037,0,mesenteric lymphadenitis,0.0
1222,3540,17723,0.7617220560853128,9964,congenital T-cell immunodeficiency,75.23976343252393
1238,90,110,0.8727272727272727,8,polycythemia neonatorum,9.911371372629551
1241,955,1967,0.7569903406202338,844,transient neonatal neutropenia,46.25043576811259
1255,153,215,0.7302325581395349,76,ventilation pneumonitis,21.87954202398435
1290,804,1660,0.8060240963855422,467,allergic cutaneous vasculitis,41.13843161569346
1313,980,1783,0.8177229388670779,357,acute allergic serous otitis media,40.508477577685525
1341,3501,19528,0.783848832445719,9533,selective IgA deficiency disease,74.77695901963484
1367,501,775,0.775483870967742,126,chronic congestive splenomegaly,30.124062395660523
1475,273,461,0.7787418655097614,254,neutropenia,31.10382215023236
1546,41,44,0.8409090909090909,7,hypermobility of coccyx,7.772265473333051
1553,97,186,0.5967741935483871,58,phacolytic glaucoma,18.69537657336926
1555,744,1375,0.776,489,neonatal thyrotoxicosis,40.9659828557769
1598,309,433,0.6651270207852193,102,benign lymphoepithelial lesion of salivary gland,26.587457920201896
1607,928,2281,0.7124068391056554,795,intrapelvic lymph node leukemic reticuloendotheliosis,45.649107167752895
1614,937,2298,0.7132288946910357,810,intra-abdominal lymph node mast cell malignancy,45.84127165378238
1892,515,1085,0.6543778801843319,346,spinal cord lymphoma,36.53550708152503
1901,3501,19528,0.783848832445719,9533,selective IgG subclass deficiency,74.77695901963484
1902,3057,13526,0.7453792695549313,6775,congenital agammaglobulinemia,70.79422156523188
1982,141,214,0.6261682242990654,61,Niemann-Pick disease,20.45336425576301
2013,46,46,1.0,0,lymphangioma,0.0
2047,1435,3583,0.7292771420597265,1453,pulmonary systemic sclerosis,52.937884636756685
2138,209,263,0.7756653992395437,45,allergic contact dermatitis of eyelid,20.472157243583485
2163,241,303,0.7986798679867987,65,thymus lipoma,22.996753973080107
2211,3482,19462,0.7842462234097215,9474,B cell deficiency,74.67648509123731
2262,306,406,0.8177339901477833,109,capillary lymphangioma,26.918935395416145
2333,17,17,1.0,0,splenic abscess,0.0
2343,91,113,0.7787610619469026,7,splenic hemangioma,9.402795009809129
2437,90,110,0.8727272727272727,8,dehydration polycythemia,9.911371372629551
2438,377,507,0.8777120315581854,62,acquired polycythemia,24.589066239331057
2440,90,110,0.8727272727272727,8,erythropoietin polycythemia,9.911371372629551
2459,4,6,0.0,0,type IV hypersensitivity disease,0.0
2468,26,26,1.0,0,hyperimmunoglobulin syndrome,0.0
2571,1909,5266,0.8072540827952905,2369,primary central nervous system lymphoma,58.706125361044926
2586,224,385,0.522077922077922,170,thymus cancer,27.847766056373867
2587,41,42,0.8809523809523809,0,encapsulated thymoma,0.0
2588,41,42,0.8809523809523809,0,thymoma type A,0.0
2590,965,2773,0.7976920302921024,1570,combined thymoma,50.58282681031595
2592,355,483,0.7412008281573499,30,invasive malignant thymoma,20.17443695698244
2637,190,342,0.7368421052631579,130,histiocytosis,25.605869357133464
2726,731,1403,0.7783321454027085,328,cutaneous solitary mastocytoma,38.22952477029266
2755,325,398,0.8442211055276382,89,solitary osseous plasmacytoma,26.0399367978828
2756,135,141,0.950354609929078,30,solitary plasmacytoma of chest wall,16.869994017669043
2966,227,291,0.697594501718213,81,splenic manifestation of prolymphocytic leukemia,23.92560188316358
2977,1108,2439,0.8786387863878639,883,autoimmune disorder of the nervous system,47.56728025414303
2984,246,433,0.6443418013856813,128,reticulohistiocytic granuloma,26.77459377879016
3047,496,901,0.8890122086570478,74,thymic large cell neuroendocrine carcinoma,26.80551363949229
3066,48,58,1.0,0,submandibular adenitis,0.0
3067,135,171,0.6491228070175439,29,cervical lymphadenitis,16.708908934375255
3069,15,15,1.0,0,suppurative lymphadenitis,0.0
3070,73,79,0.5822784810126582,37,axillary lymphadenitis,15.656407613600946
3086,347,531,0.8512241054613936,28,thymic mucoepidermoid carcinoma,19.706097006381093
3209,128,140,0.7857142857142857,16,thymus gland adenocarcinoma,13.768885353647413
3225,194,355,0.7633802816901408,249,bone marrow disorder,29.114660982514604
3393,105,113,0.7433628318584071,11,thymus gland disorder,11.588210815840403
3493,321,488,0.8258196721311475,44,thymus squamous cell carcinoma,21.981768763669127
3534,146,174,0.8850574712643678,9,papillary thymic adenocarcinoma,11.490895681908434
3539,1209,2367,0.8318546683565695,441,T-cell adult acute lymphocytic leukemia,43.23840567404765
3551,347,531,0.8512241054613936,28,thymic adenosquamous carcinoma,19.706097006381093
3627,671,1474,0.7978290366350068,535,rheumatic pulmonary valve disease,40.911336835077634
3655,846,1583,0.7668982943777637,649,cerebral lymphoma,43.66580907813553
3738,3501,19528,0.783848832445719,9533,selective IgE deficiency disease,74.77695901963484
3739,3510,19607,0.7846177385627582,9533,selective immunoglobulin deficiency disease,74.80047637939323
3778,210,314,0.8853503184713376,277,inborn error of immunity,30.11822982942688
3780,1241,4731,0.8186429930247305,3483,T-cell immunodeficiency,58.10679115016454
3783,32,36,0.8888888888888888,36,lymphopenia,12.62560178539529
3827,263,343,0.7201166180758017,202,transient hypogammaglobulinemia,29.626166113669697
3832,3576,20299,0.7809744322380413,10022,complement deficiency,75.38037905169793
3848,113,116,0.8448275862068966,6,ectopic thymus,9.216216628670876
3864,539,921,0.7850162866449512,141,chronic lymphocytic leukemia/small lymphocytic lymphoma,31.179928576592207
3915,610,1289,0.8425135764158262,607,cortical thymoma,41.1218933930593
3947,54,77,0.3896103896103896,36,hyper-IgM syndrome,14.470151180489566
3976,345,467,0.7473233404710921,23,malignant type AB thymoma,18.580297142966955
4051,610,1281,0.7814207650273224,596,aleukemic monocytic leukemia cutis,41.00476803740177
4092,353,538,0.8401486988847584,28,thymic basaloid carcinoma,19.76365902054784
4095,179,224,0.8392857142857143,57,B-cell neoplasm,21.0857053492663
4104,234,303,0.6864686468646864,86,splenic manifestation of hairy cell leukemia,24.38200727210536
4107,227,291,0.697594501718213,81,splenic manifestation of leukemia,23.92560188316358
4110,238,326,0.6441717791411042,80,refractory hairy cell leukemia,24.06604062637985
4122,532,782,0.8452685421994884,109,thymus small cell carcinoma,29.51206668049859
4147,345,467,0.7473233404710921,23,noninvasive malignant thymoma,18.580297142966955
4152,946,1790,0.7139664804469273,378,chronic lymphocytic leukemia/small lymphocytic lymphoma with immunoglobulin heavy chain variable-region gene somatic hypermutation,40.6917114900509
4165,3501,19528,0.783848832445719,9533,selective IgD deficiency disease,74.77695901963484
4195,3010,14268,0.696663863190356,5149,thymic dysplasia,68.45971874830498
4297,347,531,0.8512241054613936,28,lymphoepithelioma-like thymic carcinoma,19.706097006381093
4380,100,138,0.7028985507246377,25,dendritic cell sarcoma,15.036508178472422
4385,577,947,0.8025343189017952,158,adult xanthogranuloma,32.23607070724339
4400,345,467,0.7473233404710921,23,malignant type A thymoma,18.580297142966955
4463,1029,1957,0.8094021461420542,384,cellular phase chronic idiopathic myelofibrosis,41.29951881190567
4475,1030,3127,0.7828589702590342,1944,thymus clear cell carcinoma,52.54374812486208
4478,539,921,0.7850162866449512,141,pregerminal center chronic lymphocytic leukemia/small lymphocytic lymphoma,31.179928576592207
4528,928,2275,0.7142857142857143,795,lymph node palisaded myofibroblastoma,45.649107167752895
4563,90,110,0.8727272727272727,8,physiological polycythemia,9.911371372629551
4584,39,54,0.5185185185185185,22,maple bark strippers' lung,11.566460191634128
4586,104,135,0.6814814814814815,16,rheumatoid lung disease,13.185662566774834
4612,440,728,0.7211538461538461,153,malignant histiocytosis,30.670230431595364
4642,498,813,0.6728167281672817,288,tonsillar pillar cancer,35.20327698369639
4643,158,239,0.606694560669456,79,myeloid leukemia,22.212073222739416
4644,289,367,0.7302452316076294,53,subacute monocytic leukemia,22.61706454768842
4653,823,1400,0.7371428571428571,304,"atypical chronic myeloid leukemia, BCR-ABL1 negative",38.40714875239158
4670,190,342,0.9298245614035088,76,lupus erythematosus,22.814853793806986
4680,1507,3829,0.7686079916427265,1913,primary thrombocytopenia,55.30584162784923
4685,208,368,0.532608695652174,164,Waldeyer's ring cancer,27.277667393883767
4690,208,368,0.532608695652174,164,tonsillar fossa cancer,27.277667393883767
4784,23,30,0.4666666666666667,0,allergic asthma,0.0
4802,638,1357,0.7921886514369934,524,pulmonary eosinophilia,40.46095433605614
4803,295,419,0.8615751789976134,5,disseminated eosinophilic collagen disease,10.195755435596524
4805,146,179,0.8379888268156425,49,leukocyte disorder,19.522687086516708
4815,76,81,0.7777777777777778,12,osteosclerotic plasma cell myeloma,11.141640925721546
4816,194,248,0.7782258064516129,31,refractory plasma cell neoplasm,18.274823885561485
4817,43,47,0.6808510638297872,3,non-secretory plasma cell myeloma,5.246000750909229
4819,62,68,0.7647058823529411,3,indolent plasma cell myeloma,5.743604308556582
4928,928,2275,0.7142857142857143,795,lymph node disorder,45.649107167752895
4947,776,1303,0.8250191864927091,235,B-cell acute lymphoblastic leukemia,36.36420666278954
4948,618,1012,0.7420948616600791,219,B-cell chronic lymphocytic leukemia,34.6708056696045
4949,290,490,0.736734693877551,238,neoplasm of mature B-cells,31.06974809098968
4959,108,136,0.8235294117647058,9,plasma cell neoplasm,10.802227699670013
4963,874,1465,0.8409556313993174,283,T-cell acute lymphoblastic leukemia,38.26741621757045
4980,47,57,0.4912280701754385,14,atopic eczema,10.483406676096193
4996,1125,2325,0.8159139784946237,789,childhood acute myeloid leukemia,46.88055115651484
5011,24,25,0.24,13,Crohn disease,8.494797838739785
5019,320,409,0.784841075794621,42,diffuse scleroderma,21.7075450200352
5029,121,152,0.6578947368421053,41,essential thrombocythemia,17.95584350449342
5083,75,98,0.7857142857142857,29,psoriasis,14.72967889765887
5095,16,16,0.0625,1,spondyloarthropathy,1.9638338413573804
5100,1054,2324,0.6962134251290878,951,systemic sclerosis,47.744501657310856
5101,95,116,0.8793103448275862,69,ulcerative colitis,19.3916115745077
5130,66,77,0.3896103896103896,0,celiac disease,0.0
5147,471,873,0.6517754868270332,347,type 1 diabetes mellitus,36.03188768736312
5175,63,63,0.9523809523809524,5,aggressive insulitis,7.451718146022062
5176,193,275,0.6472727272727272,60,benign insulitis,21.65550042626557
5185,1085,2212,0.8074141048824593,821,chronic childhood arthritis,46.916786926168825
5197,118,142,0.8169014084507042,13,thymus neoplasm,12.61238088363246
5202,59,73,0.5753424657534246,14,atopic IgE-mediated allergic disorder,11.0876906151073
5204,1320,3248,0.7663177339901478,1552,primary antiphospholipid syndrome,52.803384654669934
5223,738,1235,0.8251012145748988,211,acute myeloid leukemia with minimal differentiation,35.38184818347072
5224,2230,7130,0.7394109396914446,4553,acute myeloblastic leukemia without maturation,64.94892772037741
5235,43,47,0.6808510638297872,3,smoldering plasma cell myeloma,5.246000750909229
5246,28,33,0.9393939393939394,5,osteomyelitis,6.033384189070408
5265,526,922,0.779826464208243,595,inflammatory bowel disease,40.048919813943286
5271,15,16,0.875,0,allergic disease,0.0
5282,769,1640,0.7981707317073171,387,cutaneous lupus erythematosus,39.6191693482288
5284,2712,9397,0.7403426625518783,3743,chronic progressive multiple sclerosis,65.04829444570606
5292,95,116,0.8793103448275862,69,colitis,19.3916115745077
5301,1925,4973,0.6738387291373417,1899,multiple sclerosis,57.09920850996868
5306,8,8,0.625,0,ankylosing spondylitis,0.0
5314,1925,4973,0.6738387291373417,1899,relapsing-remitting multiple sclerosis,57.09920850996868
5324,15,16,0.875,0,seasonal allergic rhinitis,0.0
5364,56,66,0.7272727272727273,0,Graves disease,0.0
5374,276,480,0.7958333333333333,256,bone marrow neoplasm,31.208101044616217
5435,975,1825,0.8920547945205479,482,anti-neutrophil antibody associated vasculitis,42.53991341882732
5438,1149,2772,0.7247474747474747,818,metastatic malignant neoplasm in the lymph nodes,47.27533810326729
5511,3482,19462,0.7842462234097215,9474,janus kinase-3 deficiency,74.67648509123731
