mondo_id,Gag polyprotein,Gag protein,retinol-binding protein,gag protein,Coagulation factor VIII,gag polyprotein,cytochrome P450 2D6,Protein Nef,"retinol binding protein 3, interstitial",nef protein,MBP protein,GAG protein,myelin/oligodendrocyte glycoprotein-25.6kD precursor,rhesus polypeptide RhII,coagulation factor VIII,Wilms tumor protein,Thyroid peroxidase,"pol protein, partial",Gag-Pol polyprotein,Acetylcholine receptor subunit alpha,S-arrestin,pol protein,dopamine receptor D2longer [Homo sapiens],Telomerase reverse transcriptase,Thyrotropin receptor,Integrin beta-3,myelin oligodendrocyte glycoprotein,Retinol-binding protein 3,arrestin,Thyroglobulin,envelope glycoprotein,myelin proteolipid protein,retinal pigment epithelium-specific 61 kDa protein,O-phosphoseryl-tRNA(Sec) selenium transferase,Glypican-3,aquaporin-4 isoform a,UGA suppressor tRNA-associated antigenic protein,unnamed protein product,Rh polypeptide,IL-2,IL-4,IL-6,IL-10,IL-17,IL-23,IFN-gamma,IFN-tail,IFN-tail,TNF-alpha,TNF-tail,TGF-beta,GM-CSF,IL-1-tail,IL-12,IL-21
12186,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,1,0
18874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
13934,1,1,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30498,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44201,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
850449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
4643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
