mondo_id,total_epitopes,self_antigen_ratio,self_antigen_count,unique_antigens,disease_name
15,1997,0.9744616925388082,1946,164,classic complement early component deficiency
213,8578,0.3969456749825134,3405,299,"autoimmune disease, multisystem, infantile-onset"
225,1885,0.9681697612732096,1825,171,human monocytic ehrlichiosis
320,100,0.0,0,45,glandular tularemia
432,113,1.0,113,22,lymphoplasmacytic lymphoma
450,3832,0.8311586638830898,3185,308,secondary progressive multiple sclerosis
451,4024,0.838220675944334,3373,333,primary progressive multiple sclerosis
452,3844,0.8316857440166493,3197,309,progressive relapsing multiple sclerosis
568,8874,0.391255352715799,3472,373,autoimmune disorder of central nervous system
569,9056,0.4034893992932862,3654,418,autoimmune disorder of endocrine system
572,1997,0.9744616925388082,1946,164,recombinase activating gene 1 deficiency
573,1997,0.9744616925388082,1946,164,recombinase activating gene 2 deficiency
583,1997,0.9744616925388082,1946,164,immunoglobulin beta deficiency
586,8874,0.391255352715799,3472,373,autoimmune disorder of exocrine system
587,8176,0.3674168297455968,3004,298,"autoimmune disease of ear, nose and throat"
588,8443,0.3839867345730191,3242,370,autoimmune disorder of gastrointestinal tract
589,8874,0.391255352715799,3472,373,autoimmune disorder of musculoskeletal system
590,8874,0.391255352715799,3472,373,autoimmune disorder of peripheral nervous system
602,8176,0.3674168297455968,3004,298,autoimmune disorder of blood
603,8876,0.3913925191527715,3474,373,autoimmune disorder of cardiovascular system
612,18576,0.9804048234280792,18212,7583,lymphatic system cancer
621,26590,0.7909364422715307,21031,7842,immune system cancer
630,9200,0.3973913043478261,3656,463,immune system organ benign neoplasm
701,10,0.0,0,0,ischemic colitis
702,10,0.0,0,0,microscopic colitis
703,10,0.0,0,0,collagenous colitis
704,237,0.4641350210970464,110,44,lymphocytic colitis
705,10,0.0,0,0,Clostridium difficile colitis
706,10,0.0,0,0,chemical colitis
707,10,0.0,0,0,diversion colitis
708,20,0.5,10,2,Crohn jejunoileitis
709,20,0.5,10,2,Crohn ileitis
710,20,0.5,10,2,gastroduodenal Crohn disease
715,12238,0.9795718254616768,11988,3736,lymph node adenoid cystic carcinoma
771,31722,0.0085744908896034,272,699,allergic respiratory disease
774,8239,0.372253914309989,3067,299,autoimmune neuropathy
775,17382,0.0010930848003681,19,269,drug allergy
777,17578,0.0121743087950847,214,325,gastrointestinal allergy
807,17382,0.0010930848003681,19,269,latex allergy
814,1790,0.3614525139664804,647,173,B-cell adult acute lymphocytic leukemia
871,1740,0.3431034482758621,597,174,T-cell childhood acute lymphocytic leukemia
872,1623,0.3678373382624769,597,169,B-cell childhood acute lymphoblastic leukemia
