crohn_rank,rank,target_id,target_name,combined_score,kg_score,fusion_score,gnn_score,num_diseases,score_ulcerative_colitis,score_crohn,score_inflammatory_bowel,kg_score_norm,fusion_score_norm,gnn_score_norm,combined_score_norm
1,14,vegfa,vegfa,0.8259466849099595,-12.735465983549753,-0.017742283642292023,0.5657962759335836,3,-10.04344266653061,-17.473371247450512,-10.689584036668142,0.9665739372848575,0.49771151579993095,0.9666788508534572,0.8259466849099595
2,8,il6,il6,0.8337685606090035,-11.196973820527395,-0.041441693902015686,0.5862068831920624,3,-8.554637451966604,-18.42414164543152,-6.612142364184062,1.0,0.4488189926056245,0.9970762094243875,0.8337685606090035
3,2,tnf,tnf,0.8600666658188465,-11.234991543822819,0.0001660423974196116,0.5881700913111368,3,-7.980760340889295,-18.58003870646159,-7.144175584117572,0.9991740076201211,0.5346568759026601,1.0,0.8600666658188465
4,22,bdnf,bdnf,0.8075467619283372,-14.384839317864841,0.004898618906736374,0.5253329575061798,3,-11.352756624420484,-19.177962064743042,-12.623799264431,0.930738813883778,0.5444203090098473,0.9064171455729061,0.8075467619283372
5,64,tp53,tp53,0.7546518128944899,-14.081599007050196,-0.07385650680710872,0.5101398229598999,3,-12.065609534581503,-19.73763382434845,-10.441553662220636,0.9373271670068366,0.38194635845848934,0.883790128514028,0.7546518128944899
6,34,cd8a,cd8a,0.7856122596591002,-13.739499485327137,-0.03338452739020189,0.5167178014914194,3,-9.999802199502787,-19.88383412361145,-11.334862132867178,0.9447597950973634,0.4654411446440963,0.8935866607564197,0.7856122596591002
7,20,tlr4,tlr4,0.8113803363655796,-15.493222759829628,0.0165286452199022,0.53936239083608,3,-13.018724421660105,-20.236851930618286,-13.22409192721049,0.9066575118570206,0.5684133672773438,0.9273110714652276,0.8113803363655796
8,1,camp,camp,0.8858919071091294,-13.492509772380194,0.09584228570262592,0.5573492646217346,3,-11.565384050210318,-20.304357290267944,-8.607787976662317,0.9501260191402215,0.7320395488754873,0.9540987826346483,0.8858919071091294
9,62,cd4,cd4,0.7565836561942141,-14.119799968269136,-0.07505158583323161,0.5168622036774954,3,-10.353542943795523,-20.92029897371928,-11.085557987292608,0.9364971935066957,0.37948087816326675,0.8938017178085196,0.7565836561942141
10,202,spp1,spp1,0.689855524535268,-16.164485775762135,-0.12600252777338028,0.477862407763799,3,-13.094433347384134,-21.121774007876713,-14.277249972025553,0.8920733103848225,0.27436770938479926,0.8357196252196639,0.689855524535268
11,19,il10,il10,0.8115715914758644,-13.799077642460665,-0.02516247828801473,0.5645893315474192,3,-10.690303047498068,-21.457926054795582,-9.249003825088343,0.9434653697732293,0.4824034539179516,0.9648813579706244,0.8115715914758644
12,23,tgfb1,tgfb1,0.8058898821442981,-13.449994328949186,-0.023815348744392395,0.5432163079579672,3,-8.78789676229159,-21.476467688878376,-10.085618535677591,0.9510497312738572,0.4851826185357829,0.9330506802467345,0.8058898821442981
13,35,il2,il2,0.7846068310570434,-15.078105939759148,-0.04078691452741623,0.5507591764132181,3,-12.05818341175715,-21.776732047398884,-11.399402360121409,0.9156765508845107,0.4501698201329307,0.944284215544533,0.7846068310570434
14,32,ins,ins,0.7911968460713455,-13.759729492167631,-0.03319355472922325,0.5293461779753367,3,-9.28801310310761,-21.891053279240925,-10.100122094154358,0.9443202676862846,0.46583512639950925,0.9123940035899296,0.7911968460713455
15,27,crp,crp,0.7996248046833251,-17.421840919388664,0.02399219386279583,0.5402264992396036,3,-16.251852711041767,-21.94686420758565,-14.066805839538574,0.8647553734487625,0.583810869625943,0.9285979813867907,0.7996248046833251
16,139,hmgb1,hmgb1,0.7095493366079342,-16.35427047146691,-0.085233340660731,0.46915754675865173,3,-14.141473154226938,-22.060168743133545,-12.861169517040253,0.8879499516226045,0.35847564307063373,0.8227555434590074,0.7095493366079342
17,6,bcl2,bcl2,0.8455998423569089,-14.778119636906517,0.0410432710001866,0.5680841505527496,3,-10.562175234158834,-22.205535411834717,-11.566648264726004,0.9221942057766469,0.6189877020994742,0.9700861647213594,0.8455998423569089
18,51,stat3,stat3,0.7685127231836724,-15.04737054473824,-0.06896371049030374,0.5531711280345917,3,-10.726841097076734,-22.248425881067913,-12.166844656070074,0.9163443236988522,0.3920403293540838,0.9478763163263543,0.7685127231836724
