inflammatory bowel_rank,rank,target_id,target_name,combined_score,kg_score,fusion_score,gnn_score,num_diseases,score_ulcerative_colitis,score_crohn,score_inflammatory_bowel,kg_score_norm,fusion_score_norm,gnn_score_norm,combined_score_norm
1,8,il6,il6,0.8337685606090035,-11.196973820527395,-0.041441693902015686,0.5862068831920624,3,-8.554637451966604,-18.42414164543152,-6.612142364184062,1.0,0.4488189926056245,0.9970762094243875,0.8337685606090035
2,2,tnf,tnf,0.8600666658188465,-11.234991543822819,0.0001660423974196116,0.5881700913111368,3,-7.980760340889295,-18.58003870646159,-7.144175584117572,0.9991740076201211,0.5346568759026601,1.0,0.8600666658188465
3,1,camp,camp,0.8858919071091294,-13.492509772380194,0.09584228570262592,0.5573492646217346,3,-11.565384050210318,-20.304357290267944,-8.607787976662317,0.9501260191402215,0.7320395488754873,0.9540987826346483,0.8858919071091294
4,19,il10,il10,0.8115715914758644,-13.799077642460665,-0.02516247828801473,0.5645893315474192,3,-10.690303047498068,-21.457926054795582,-9.249003825088343,0.9434653697732293,0.4824034539179516,0.9648813579706244,0.8115715914758644
5,115,il1b,il1b,0.7213240129946358,-14.953670481840769,-0.12027673919995625,0.5168116390705109,3,-11.651986002922058,-23.881643335024517,-9.327382107575735,0.9183800988910188,0.2861801657946363,0.8937264123327912,0.7213240129946358
6,13,tlr2,tlr2,0.8259501793271105,-16.34831779036257,0.051281578838825226,0.5404641727606455,3,-11.48767808576425,-27.943312009175617,-9.613963276147842,0.8880792825978927,0.6401096075808862,0.9289519467122919,0.8259501793271105
7,21,nfkb1,nfkb1,0.8079258246714978,-15.872593747244942,0.0159956490000089,0.5397480924924215,3,-12.349202235539755,-25.194615999857586,-10.073963006337484,0.8984151049586075,0.567313781686056,0.9278854939407933,0.8079258246714978
8,23,tgfb1,tgfb1,0.8058898821442981,-13.449994328949186,-0.023815348744392395,0.5432163079579672,3,-8.78789676229159,-21.476467688878376,-10.085618535677591,0.9510497312738572,0.4851826185357829,0.9330506802467345,0.8058898821442981
9,32,ins,ins,0.7911968460713455,-13.759729492167631,-0.03319355472922325,0.5293461779753367,3,-9.28801310310761,-21.891053279240925,-10.100122094154358,0.9443202676862846,0.46583512639950925,0.9123940035899296,0.7911968460713455
10,5,il17a,il17a,0.8487065924740946,-15.429516947931713,0.05280118823672334,0.5714206695556641,3,-11.199399123589197,-24.82478467623393,-10.264367043972015,0.9080416167065608,0.6432446027946399,0.9750552165102611,0.8487065924740946
